"lat"; "lon"; "s"; "alt"
51.654742;6.448487;0;19.243
51.654879;6.44836;82;15.17
51.654941;6.448322;96;16.687
51.654909;6.448327;95;15.17
51.654901;6.448351;91;13.653
51.654894;6.448362;86;13.653
51.654895;6.448366;85;15.17
51.654926;6.448378;81;13.653
51.65498;6.448403;85;7.585
51.654982;6.448426;84;7.585
51.65497;6.448456;79;7.585
51.65497;6.448457;74;7.585
51.654975;6.448462;73;7.585
51.654977;6.448458;70;7.585
51.654973;6.44846;70;9.101999
51.654973;6.448461;69;7.585
51.654973;6.448461;70;7.585
51.654973;6.448461;70;6.068
51.654973;6.448461;70;6.068
51.654974;6.44846;70;6.068
51.654978;6.448457;71;7.585
51.654974;6.448471;73;4.5509996
51.654974;6.448503;71;4.5509996
51.654955;6.448546;71;6.068
51.654926;6.448598;72;4.5509996
51.654864;6.448628;72;4.5509996
51.654817;6.448649;69;4.5509996
51.654771;6.448649;68;4.5509996
51.654741;6.448566;68;4.5509996
51.654695;6.44848;67;4.5509996
51.654636;6.448446;66;4.5509996
51.654569;6.448481;67;4.5509996
51.654506;6.44856;66;4.5509996
51.654447;6.448631;65;4.5509996
51.654727;6.448433;0;33.968
51.654362;6.448748;63;4.5509996
51.654312;6.448807;64;4.5509996
51.654263;6.448865;64;4.5509996
51.654206;6.448923;62;4.5509996
51.654168;6.448952;61;4.5509996
51.654107;6.449004;61;4.5509996
51.654065;6.449044;64;4.5509996
51.653989;6.449119;64;4.5509996
51.653922;6.449202;64;4.5509996
51.653862;6.449272;65;4.5509996
51.653817;6.449334;66;4.5509996
51.65376;6.449389;69;4.5509996
51.653694;6.449363;69;4.5509996
51.653664;6.449327;69;4.5509996
51.653641;6.449265;69;4.5509996
51.653644;6.449244;69;6.068
51.653656;6.449259;68;6.068
51.653663;6.449268;67;6.068
51.653665;6.449273;67;6.068
51.653672;6.449265;65;4.5509996
51.653678;6.449257;65;4.5509996
51.65357;6.4491;0;22.106
51.653619;6.449066;66;4.5509996
51.653589;6.448999;67;4.5509996
51.653545;6.448885;68;4.5509996
51.653508;6.448792;66;6.068
51.653487;6.448726;66;7.585
51.653463;6.448685;67;7.585
51.653454;6.448149;0;19.659
51.653454;6.448583;67;7.585
51.653451;6.448558;68;7.585
51.653429;6.448481;67;7.585
51.653403;6.448375;68;6.068
51.653405;6.448308;63;6.068
51.653375;6.448232;62;6.068
51.653321;6.448164;64;4.5509996
51.653269;6.448156;62;4.5509996
51.653237;6.448153;59;6.068
51.653216;6.448163;58;4.5509996
51.653171;6.448182;56;4.5509996
51.653141;6.448172;56;4.5509996
51.653101;6.448156;56;6.068
51.65306;6.448163;57;7.585
51.653018;6.448216;57;6.068
51.652974;6.44827;59;7.585
51.652921;6.448321;58;9.101999
51.652873;6.448362;58;10.6189995
51.652815;6.448413;57;9.101999
51.652769;6.448466;56;9.101999
51.652727;6.448503;57;10.6189995
51.652689;6.44854;57;9.101999
51.652641;6.448588;60;9.101999
51.652586;6.448598;63;9.101999
51.652549;6.448553;65;9.101999
51.652528;6.448526;65;7.585
51.652497;6.448511;65;7.585
51.652447;6.448473;66;6.068
51.652401;6.448421;67;6.068
51.652353;6.448356;66;6.068
51.652322;6.448323;67;6.068
51.652276;6.448273;68;6.068
51.652254;6.448252;68;6.068
51.652205;6.448199;67;4.5509996
51.652167;6.448147;65;4.5509996
51.651938;6.44792;0;24.696
51.652103;6.448029;64;7.585
51.652076;6.44796;65;7.585
51.652023;6.4479;67;9.101999
51.651981;6.447845;65;9.101999
51.651953;6.447787;69;7.585
51.651927;6.447748;70;7.585
51.65191;6.447712;68;6.068
51.651873;6.44766;68;6.068
51.651848;6.447644;69;6.068
51.651829;6.447651;66;6.068
51.651826;6.447606;65;6.068
51.651784;6.447552;64;6.068
51.65172;6.447505;65;4.5509996
51.651677;6.447433;64;6.068
51.651621;6.447362;64;6.068
51.651573;6.447282;63;6.068
51.651545;6.447228;63;6.068
51.6515;6.447151;63;6.068
51.651472;6.447086;63;6.068
51.651452;6.44702;62;7.585
51.651449;6.44698;59;7.585
51.651447;6.446931;59;10.6189995
51.651443;6.446857;56;10.6189995
51.651459;6.446734;55;9.101999
51.651483;6.446633;56;9.101999
51.651472;6.446545;58;9.101999
51.651447;6.44645;57;9.101999
51.651423;6.446392;57;7.585
51.651377;6.446318;56;7.585
51.65133;6.446218;56;7.585
51.651295;6.446126;56;9.101999
51.651254;6.446025;55;7.585
51.651208;6.445938;57;7.585
51.651162;6.445889;57;7.585
51.651119;6.445869;63;7.585
51.651051;6.445843;61;7.585
51.650994;6.44589;62;7.585
51.650933;6.445941;63;6.068
51.650873;6.445953;65;6.068
51.650845;6.445906;61;4.5509996
51.650753;6.445938;0;23.635
51.650821;6.445862;59;7.585
51.650778;6.445853;59;9.101999
51.650709;6.445867;62;7.585
51.65066;6.445907;63;7.585
51.650597;6.445921;62;6.068
51.650554;6.445897;64;6.068
51.650519;6.445812;61;7.585
51.650502;6.445743;60;6.068
51.650484;6.445636;60;7.585
51.650472;6.44554;62;7.585
51.650465;6.445445;62;9.101999
51.650457;6.44535;63;10.6189995
51.650436;6.445237;62;9.101999
51.650393;6.445172;62;7.585
51.650356;6.445157;63;6.068
51.650307;6.445116;63;6.068
51.650259;6.44508;63;6.068
51.650231;6.445039;66;6.068
51.650225;6.445029;66;6.068
51.650216;6.445016;67;6.068
51.650204;6.445022;68;4.5509996
51.650181;6.445028;68;4.5509996
51.650135;6.445024;68;6.068
51.650083;6.445046;68;6.068
51.650028;6.445105;69;4.5509996
51.649967;6.44516;70;6.068
51.649912;6.445203;72;6.068
51.649682;6.44568;0;22.536
51.649893;6.44534;73;4.5509996
51.649919;6.445441;70;4.5509996
51.64995;6.445545;71;4.5509996
51.649981;6.445657;71;4.5509996
51.650013;6.445755;72;4.5509996
51.650031;6.44583;71;4.5509996
51.650234;6.445943;0;22.847
51.650051;6.445969;67;4.5509996
51.650075;6.446028;68;7.585
51.650067;6.446124;70;9.101999
51.650042;6.446181;70;9.101999
51.649993;6.446229;70;9.101999
51.649964;6.446244;68;7.585
51.64989;6.446436;0;19.733
51.649915;6.446304;63;7.585
51.649882;6.446362;63;7.585
51.64987;6.446374;60;7.585
51.649833;6.446396;58;10.6189995
51.649777;6.446451;61;7.585
51.649737;6.4465;61;9.101999
51.64961;6.446656;0;21.603
51.649656;6.446577;61;7.585
51.649618;6.446609;63;9.101999
51.649578;6.446655;64;9.101999
51.64953;6.446728;64;9.101999
